จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,,Last Update:
กรุงเทพมหานคร,5,7,เศรษฐกิจ,1237,1.40026,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,5,8,ไทยสร้างไทย,757,0.85691,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,5,9,ไทยก้าวใหม่,645,0.73013,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,5,10,รวมพลังประชาชน,353,0.39959,91822,68.5157,88341,1372,2109,206,94.93088,FALSE,,,
กรุงเทพมหานคร,6,1,ประชาชน,42985,46.82309,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,2,ภูมิใจไทย,16772,18.26956,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,3,ประชาธิปัตย์,10541,11.4822,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,4,เพื่อไทย,7606,8.28513,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,5,รวมไทยสร้างชาติ,2767,3.01406,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,6,เศรษฐกิจ,2476,2.69708,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,7,โอกาสใหม่,1823,1.98577,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,8,ไทยภักดี,1754,1.91061,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,9,ไทยสร้างไทย,730,0.79518,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,6,10,ไทยก้าวใหม่,685,0.74616,95985,67.05485,91803,1732,2450,209,95,TRUE,,,
กรุงเทพมหานคร,7,1,ประชาชน,38647,46.4284,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,2,ภูมิใจไทย,15684,18.8419,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,3,เพื่อไทย,7681,9.22753,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,4,ประชาธิปัตย์,7416,8.90918,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,5,รวมไทยสร้างชาติ,4861,5.83974,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,6,เศรษฐกิจ,2165,2.60091,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,7,ไทยภักดี,1374,1.65065,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,8,ไทยสร้างไทย,685,0.82292,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,9,ไทยก้าวใหม่,643,0.77247,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,7,10,ทางเลือกใหม่,441,0.52979,87437,63.23368,83240,1600,2597,201,94.81132,FALSE,,,
กรุงเทพมหานคร,8,1,ประชาชน,40056,45.2135,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,2,ภูมิใจไทย,18254,20.60434,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,3,เพื่อไทย,9750,11.00538,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,4,ประชาธิปัตย์,9156,10.3349,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,5,รวมไทยสร้างชาติ,2480,2.79932,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,6,ไทยภักดี,1890,2.13335,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,7,เศรษฐกิจ,1549,1.74845,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,8,ไทยสร้างไทย,836,0.94364,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,9,ไทยก้าวใหม่,816,0.92107,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,8,10,ทางเลือกใหม่,433,0.48875,92607,64.28051,88593,1576,2438,193,94.60784,FALSE,,,
กรุงเทพมหานคร,9,1,ประชาชน,44763,47.96207,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,2,ภูมิใจไทย,18571,19.89821,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,3,เพื่อไทย,9200,9.85749,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,4,ประชาธิปัตย์,8625,9.2414,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,5,รวมไทยสร้างชาติ,2515,2.69474,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,6,เศรษฐกิจ,1778,1.90507,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,7,ไทยภักดี,1572,1.68435,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,8,ไทยสร้างไทย,1029,1.10254,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,9,ไทยก้าวใหม่,786,0.84217,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,9,10,กล้าธรรม,583,0.62467,97497,67.56736,93330,1493,2674,189,94.97487,FALSE,,,
กรุงเทพมหานคร,10,1,ประชาชน,40209,46.53766,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,10,2,ภูมิใจไทย,14679,16.98939,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,10,3,เพื่อไทย,12183,14.10053,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,10,4,ประชาธิปัตย์,6486,7.50686,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,10,5,รวมไทยสร้างชาติ,2369,2.74187,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,10,6,เศรษฐกิจ,2201,2.54742,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
กรุงเทพมหานคร,10,7,ไทยภักดี,1171,1.35531,90689,65.39113,86401,1676,2612,178,94.68085,FALSE,,,
